17  51  61  40  93  44  82  45  40  65  28  64  89  67  55  29  78  16  80  54  27  42  94  95  57  55  81  16  90  39  38  84  43  86  66  88  18  80  48  32  24  87  19  33  94  18  80  43  72  21  62  92  86  17  77  44  14  38  74  98  50  64  82  59  22  49  83  44  20  98  67  14  89  95  23  77  24  73  79  84  39  91  42  62  88  83  49  93  41  69  48  90  29  33  66  45  78  17  69  82
69  54  56  10  97  51  96  62  90  61  97  80  36  93  65  72  53  88  80  43  72  81  43  96  88  85  68  68  93  70  15  82  53  74  16  30  97  42  96  26  64  98  23  93  60  46  13  35  87  94  32  77  86  87  43  63  17  57  74  36  52  10  77  32  59  63  49  55  89  73  41  53  35  42  29  35  59  60  46  94  54  65  62  35  90  43  31  72  30  47  21  73  60  53  63  37  82  94  64  60
47  82  39  72  14  31  78  92  50  74  31  65  92  61  17  72  42  48  97  18  19  46  18  23  93  20  31  22  88  52  93  98  86  72  71  58  25  43  85  17  65  95  33  63  14  45  71  87  47  88  19  43  18  44  18  85  89  68  41  17  79  46  79  82  18  25  13  62  30  16  32  79  71  56  96  55  92  61  87  10  11  59  56  45  95  53  74  48  15  68  87  15  23  74  63  94  47  55  48  30
91  65  36  11  21  89  40  34  35  10  82  14  85  51  98  69  81  67  48  40  41  28  22  76  85  89  92  61  96  47  27  11  64  79  21  79  83  96  88  65  27  95  73  77  42  37  92  21  71  26  37  89  34  96  82  44  19  33  61  94  53  87  60  78  43  53  67  30  38  46  35  49  20  77  45  40  34  82  28  94  74  30  59  91  71  14  25  96  65  71  12  96  38  52  75  71  57  63  51  98
25  85  24  21  20  11  10  30  48  66  36  51  14  41  78  22  39  43  89  20  90  16  40  65  84  94  88  20  63  50  84  17  49  93  71  16  98  65  75  95  30  81  81  80  29  40  85  64  83  44  94  52  55  82  49  59  18  92  38  77  94  12  40  70  50  94  42  33  54  15  97  70  51  48  84  67  21  57  16  49  92  46  71  90  62  29  40  24  91  20  51  79  67  46  60  50  63  97  37  28
98  27  47  96  54  74  85  93  35  79  49  20  43  22  67  21  64  74  70  52  25  51  97  84  21  84  16  55  75  39  11  30  50  27  65  88  69  82  66  20  41  57  61  84  63  65  42  96  75  98  89  52  71  37  14  32  15  58  73  92  22  48  84  10  95  37  52  20  47  19  65  29  42  42  21  56  18  21  59  35  56  79  38  41  20  45  15  89  88  82  25  91  70  19  99  96  87  74  18  77
97  95  14  26  83  78  38  16  75  30  76  86  35  96  31  36  79  85  40  87  83  48  67  95  61  84  85  37  47  14  56  93  83  14  66  65  42  78  51  86  81  20  96  72  49  18  35  18  37  14  70  25  56  34  29  79  73  52  97  98  45  11  72  86  64  46  25  35  41  46  79  55  21  46  81  43  46  16  32  94  12  74  73  63  63  90  35  61  74  82  60  94  11  23  63  60  27  52  45  36
18  25  55  78  91  65  72  34  74  14  76  88  17  29  54  19  66  79  52  91  55  91  53  96  77  22  63  39  25  60  45  95  48  83  91  27  98  42  82  90  27  92  79  73  69  35  96  33  47  87  40  84  23  94  62  94  76  60  39  27  94  68  32  58  34  34  93  34  19  11  18  97  29  34  61  40  62  15  88  51  49  26  92  50  36  54  95  61  45  42  48  10  37  19  44  36  86  20  95  17
56  34  92  66  84  26  17  19  60  33  66  15  26  83  75  43  91  45  72  27  32  92  98  32  61  88  38  49  39  85  77  42  58  13  19  54  25  42  37  21  73  37  57  86  23  73  19  10  11  13  92  24  59  48  63  48  85  82  15  36  81  25  80  76  64  54  38  17  89  88  51  74  83  22  93  52  14  73  59  28  99  18  59  64  96  28  75  18  21  87  75  61  18  19  23  39  41  60  11  27
98  15  45  24  24  16  22  19  40  81  91  56  77  22  55  65  57  32  51  73  94  74  18  62  53  36  21  77  76  39  68  97  16  80  30  15  56  48  34  28  52  98  31  17  91  24  56  65  11  25  10  34  45  13  94  22  36  15  73  82  35  26  84  46  46  31  42  10  25  20  50  91  60  81  39  51  32  81  58  24  27  29  99  14  68  76  98  57  51  31  52  62  30  25  31  21  51  31  61  55
